Latitude,Longitude,Accident_Severity,Date,Day_of_Week,Time,Speed_Limit,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,fatal,serious,slight,in_london
51.492747,-0.200533,2,2005-04-04,2,06:18,30.0,1,1,1,1,0,1,0,True
51.486622,-0.170814,3,2005-08-04,6,10:40,30.0,1,1,1,1,0,0,1,True
51.50627,-0.208646,3,2005-12-04,3,15:50,30.0,1,1,1,1,0,0,1,True
51.524157,-0.213999,3,2005-04-16,7,10:10,30.0,1,1,1,1,0,0,1,True
51.486474,-0.190265,3,2005-04-14,5,09:30,30.0,1,1,1,1,0,0,1,True
51.492865,-0.167539,3,2005-04-14,5,12:55,30.0,1,1,1,2,0,0,1,True
51.518806,-0.211037,3,2005-04-18,2,12:24,30.0,1,1,1,1,0,0,1,True
51.50794,-0.206131,3,2005-04-20,4,07:50,30.0,1,1,1,1,0,0,1,True
51.492095,-0.193212,3,2005-04-17,1,13:30,30.0,1,1,1,3,0,0,1,True
51.488425,-0.176936,3,2005-04-20,4,08:44,30.0,1,1,1,1,0,0,1,True
51.504933,-0.215327,3,2005-04-24,1,17:45,30.0,1,1,1,1,0,0,1,True
51.498675,-0.165289,3,2005-04-29,6,08:39,30.0,1,1,1,1,0,0,1,True
51.481062,-0.183423,3,2005-04-25,2,14:00,30.0,1,1,1,1,0,0,1,True
51.479674,-0.180886,3,2005-05-05,5,18:45,30.0,1,1,1,1,0,0,1,True
51.506785,-0.207041,3,2005-06-05,6,12:11,30.0,1,1,1,1,0,0,1,True
51.492813,-0.181515,2,2005-04-26,3,17:18,30.0,1,1,1,1,0,1,0,True
51.48295,-0.177587,3,2005-05-16,2,11:00,30.0,1,1,1,1,0,0,1,True
51.490182,-0.156987,3,2005-05-25,4,15:15,30.0,1,1,1,2,0,0,1,True
51.495898,-0.17174,3,2005-05-19,5,12:51,30.0,1,1,1,1,0,0,1,True
51.493849,-0.178737,3,2005-05-24,3,13:16,30.0,2,2,1,1,0,0,1,True
51.481656,-0.181095,3,2005-05-26,5,20:05,30.0,1,1,1,1,0,0,1,True
51.49699,-0.195756,3,2005-05-14,7,17:05,30.0,1,1,1,1,0,0,1,True
51.497035,-0.204542,3,2005-03-05,3,08:53,30.0,1,1,1,1,0,0,1,True
51.4924,-0.160787,3,2005-07-06,3,11:00,30.0,1,1,1,2,0,0,1,True
51.484361,-0.175802,3,2005-02-06,5,08:50,30.0,1,1,1,2,0,0,1,True
51.490263,-0.16217,3,2005-05-25,4,08:36,30.0,1,1,1,1,0,0,1,True
51.499024,-0.164555,2,2005-09-06,5,15:47,30.0,1,1,1,1,0,1,0,True
51.499268,-0.197683,3,2005-08-06,4,23:19,30.0,1,1,1,1,0,0,1,True
51.486429,-0.187387,3,2005-08-06,4,18:22,30.0,1,1,1,1,0,0,1,True
51.481575,-0.181674,2,2005-05-25,4,11:30,30.0,1,1,1,1,0,1,0,True
51.485696,-0.169123,2,2005-06-06,2,18:40,30.0,1,1,1,1,0,1,0,True
51.50812,-0.206124,3,2005-06-15,4,08:00,30.0,1,1,1,2,0,0,1,True
51.486882,-0.170228,3,2005-06-20,2,18:00,30.0,1,1,1,2,0,0,1,True
51.490458,-0.186218,2,2005-06-16,5,23:46,30.0,1,1,1,1,0,1,0,True
51.512443,-0.206531,3,2005-06-16,5,13:20,30.0,2,2,1,1,0,0,1,True
51.517568,-0.206474,3,2005-06-29,4,15:35,30.0,2,2,1,1,0,0,1,True
51.482899,-0.174276,3,2005-06-23,5,11:50,30.0,1,1,1,1,0,0,1,True
51.501863,-0.185189,3,2005-06-30,5,18:54,30.0,1,1,1,1,0,0,1,True
51.526246,-0.215359,3,2005-06-20,2,10:50,30.0,1,1,1,2,0,0,1,True
51.496896,-0.16075,3,2005-05-07,3,18:30,30.0,2,2,1,1,0,0,1,True
51.481576,-0.187579,3,2005-01-07,6,18:04,20.0,2,2,1,1,0,0,1,True
51.518841,-0.207432,3,2005-09-07,7,07:00,30.0,1,1,1,1,0,0,1,True
51.498765,-0.159522,3,2005-09-07,7,18:05,30.0,1,1,1,1,0,0,1,True
51.483817,-0.164013,3,2005-12-07,3,13:10,30.0,1,1,1,1,0,0,1,True
51.490996,-0.163005,3,2005-07-16,7,23:20,30.0,1,1,1,1,0,0,1,True
51.514951,-0.217674,3,2005-05-07,3,09:09,30.0,1,1,1,1,0,0,1,True
51.501819,-0.170782,2,2005-06-17,6,18:50,30.0,1,1,1,1,0,1,0,True
51.481318,-0.182548,3,2005-08-07,6,07:44,30.0,1,1,1,2,0,0,1,True
51.496577,-0.169119,3,2005-08-07,6,19:45,30.0,1,1,1,1,0,0,1,True
51.508884,-0.197303,3,2005-07-15,6,10:15,30.0,1,1,1,1,0,0,1,True
51.491661,-0.15952,3,2005-07-13,4,08:33,30.0,1,1,1,1,0,0,1,True
51.507896,-0.203251,3,2005-07-13,4,17:12,30.0,1,1,1,1,0,0,1,True
51.489673,-0.170404,3,2005-07-21,5,21:10,30.0,1,1,1,1,0,0,1,True
51.498461,-0.157374,3,2005-07-26,3,20:31,30.0,1,2,1,1,0,0,1,True
51.482326,-0.172139,3,2005-07-19,3,09:20,30.0,4,1,1,2,0,0,1,True
51.506097,-0.209086,2,2005-07-20,4,23:00,30.0,1,1,1,1,0,1,0,True
51.496884,-0.206421,3,2005-07-17,1,17:48,30.0,1,1,1,1,0,0,1,True
51.498157,-0.201473,3,2005-07-17,1,20:15,30.0,1,1,1,1,0,0,1,True
51.499875,-0.196218,3,2005-07-27,4,09:50,30.0,2,2,1,2,0,0,1,True
51.482582,-0.171264,3,2005-07-13,4,17:30,30.0,1,1,1,1,0,0,1,True
51.498586,-0.200159,3,2005-07-19,3,14:00,30.0,1,1,1,2,0,0,1,True
51.512165,-0.217783,3,2005-07-26,3,08:16,30.0,1,1,1,1,0,0,1,True
51.484743,-0.182988,3,2005-03-08,4,13:00,30.0,1,1,1,2,0,0,1,True
51.491184,-0.186622,3,2005-07-28,5,21:30,30.0,1,1,1,2,0,0,1,True
51.49399,-0.158994,3,2005-07-29,6,13:27,30.0,1,1,1,1,0,0,1,True
51.497592,-0.159282,3,2005-07-28,5,10:00,30.0,1,1,1,1,0,0,1,True
51.488349,-0.16628,3,2005-02-08,3,19:05,30.0,1,1,1,1,0,0,1,True
51.496572,-0.163068,3,2005-06-08,7,16:40,30.0,1,1,1,2,0,0,1,True
51.491609,-0.179258,3,2005-07-25,2,08:55,30.0,1,1,1,1,0,0,1,True
51.487628,-0.195117,3,2005-11-08,5,07:55,30.0,1,1,1,1,0,0,1,True
51.515347,-0.202381,2,2005-08-08,2,07:08,30.0,1,1,1,1,0,1,0,True
51.523238,-0.206827,3,2005-08-22,2,20:30,30.0,2,2,1,1,0,0,1,True
51.500731,-0.193447,2,2005-08-15,2,19:55,30.0,1,1,1,1,0,1,0,True
51.526246,-0.215359,3,2005-08-17,4,19:46,30.0,1,1,1,1,0,0,1,True
51.497524,-0.183777,3,2005-08-31,4,16:00,30.0,1,1,1,1,0,0,1,True
51.510711,-0.216831,3,2005-08-15,2,19:21,30.0,1,1,1,1,0,0,1,True
51.480718,-0.184445,3,2005-02-09,6,16:30,30.0,1,1,1,2,0,0,1,True
51.487565,-0.167896,3,2005-01-09,5,18:43,30.0,1,1,1,1,0,0,1,True
51.480804,-0.184153,3,2005-01-09,5,07:40,30.0,1,1,1,1,0,0,1,True
51.500906,-0.158428,3,2005-08-30,3,08:45,30.0,1,1,1,1,0,0,1,True
51.497033,-0.204398,3,2005-04-09,1,15:00,30.0,1,1,1,2,0,0,1,True
51.483253,-0.185496,3,2005-09-13,3,04:52,30.0,1,1,1,1,0,0,1,True
51.48258,-0.17112,2,2005-07-09,4,07:35,30.0,1,1,1,1,0,1,0,True
51.507975,-0.202527,3,2005-12-09,2,16:21,30.0,1,1,1,1,0,0,1,True
51.505397,-0.198594,3,2005-09-26,2,12:15,30.0,1,1,1,1,0,0,1,True
51.49927,-0.197827,3,2005-09-24,7,12:34,30.0,1,1,1,1,0,0,1,True
51.525584,-0.207312,3,2005-03-10,2,18:33,30.0,1,1,1,1,0,0,1,True
51.522177,-0.208022,3,2005-04-10,3,21:10,30.0,1,1,1,1,0,0,1,True
51.519352,-0.217358,3,2005-09-29,5,17:33,30.0,1,1,1,1,0,0,1,True
51.519494,-0.203083,2,2005-10-19,4,07:50,30.0,2,2,1,2,0,1,0,True
51.493484,-0.155413,2,2005-12-10,4,18:15,30.0,2,2,1,2,0,1,0,True
51.494554,-0.195276,3,2005-03-10,2,08:27,30.0,1,1,1,1,0,0,1,True
51.482074,-0.173301,3,2005-11-10,3,08:40,30.0,1,1,1,2,0,0,1,True
51.522177,-0.208022,3,2005-10-17,2,16:35,30.0,1,1,1,1,0,0,1,True
51.480177,-0.178561,3,2005-10-16,1,15:25,30.0,1,1,1,1,0,0,1,True
51.486008,-0.177609,3,2005-03-11,5,08:35,30.0,1,1,1,2,0,0,1,True
51.522651,-0.22141,3,2005-01-11,3,08:40,30.0,1,1,1,1,0,0,1,True
51.496434,-0.206439,3,2005-01-11,3,19:03,30.0,2,2,1,1,0,0,1,True
51.49815,-0.166175,3,2005-04-11,6,10:07,30.0,1,1,1,1,0,0,1,True
51.480806,-0.184297,3,2005-02-11,4,08:18,30.0,1,1,1,1,0,0,1,True
51.498334,-0.201322,3,2005-12-11,7,16:05,30.0,1,1,1,2,0,0,1,True
51.492394,-0.189311,3,2005-02-11,4,01:00,30.0,2,2,1,1,0,0,1,True
51.513985,-0.20157,2,2005-04-11,6,13:16,30.0,1,1,1,1,0,1,0,True
51.509646,-0.194247,3,2005-07-11,2,16:35,30.0,1,1,1,1,0,0,1,True
51.488576,-0.192487,3,2005-07-11,2,18:10,30.0,1,1,1,1,0,0,1,True
51.517841,-0.200841,3,2005-12-10,4,21:35,30.0,2,2,1,2,0,0,1,True
51.507719,-0.203402,3,2005-11-15,3,17:04,30.0,1,1,1,1,0,0,1,True
51.526246,-0.215359,3,2005-11-18,6,09:10,30.0,1,1,1,1,0,0,1,True
51.491724,-0.192506,3,2005-09-11,4,07:04,30.0,1,1,1,1,0,0,1,True
51.491519,-0.179262,3,2005-11-17,5,10:45,30.0,1,1,1,2,0,0,1,True
51.497453,-0.167643,2,2005-11-27,1,17:30,30.0,1,1,1,2,0,1,0,True
51.499623,-0.179947,3,2005-11-18,6,13:01,30.0,1,1,1,1,0,0,1,True
51.527515,-0.21603,3,2005-02-12,6,09:15,30.0,1,1,1,2,0,0,1,True
51.488576,-0.192487,3,2005-11-23,4,07:40,30.0,1,1,1,1,0,0,1,True
51.510018,-0.189188,3,2005-11-23,4,09:50,30.0,1,1,1,1,0,0,1,True
51.498244,-0.201325,3,2005-11-08,5,07:15,30.0,1,1,1,1,0,0,1,True
51.522822,-0.220826,3,2005-01-12,5,16:47,30.0,2,2,1,1,0,0,1,True
51.498423,-0.183741,3,2005-07-12,4,19:30,30.0,2,2,1,1,0,0,1,True
51.48342,-0.167342,3,2005-06-12,3,15:10,30.0,1,1,1,2,0,0,1,True
51.491867,-0.178527,3,2005-06-12,3,10:24,30.0,1,1,1,1,0,0,1,True
51.493269,-0.181929,3,2005-03-12,7,05:15,30.0,1,1,1,1,0,0,1,True
51.484569,-0.183427,3,2005-12-18,1,18:15,30.0,1,1,1,1,0,0,1,True
51.498812,-0.179835,3,2005-12-14,4,16:16,30.0,1,1,1,1,0,0,1,True
51.492941,-0.183959,3,2005-11-28,2,17:15,30.0,1,1,1,1,0,0,1,True
51.505512,-0.21199,3,2005-12-30,6,16:40,30.0,5,2,1,1,0,0,1,True
51.509795,-0.192224,3,2005-12-20,3,12:40,30.0,1,1,1,1,0,0,1,True
51.497208,-0.157712,3,2005-12-29,5,17:05,30.0,1,1,1,1,0,0,1,True
51.480806,-0.184297,3,2005-12-31,7,21:29,30.0,1,1,1,1,0,0,1,True
51.491573,-0.159668,3,2005-01-09,5,17:15,30.0,1,1,1,2,0,0,1,True
51.516735,-0.085578,3,2005-04-01,3,12:30,30.0,1,1,1,1,0,0,1,True
51.517725,-0.107733,2,2005-07-01,6,18:05,30.0,1,1,1,1,0,1,0,True
51.519779,-0.101306,2,2005-10-01,2,10:00,30.0,1,1,1,2,0,1,0,True
51.516292,-0.096983,2,2005-10-01,2,15:00,30.0,2,2,1,1,0,1,0,True
51.514734,-0.089697,3,2005-01-19,4,07:30,30.0,1,1,1,1,0,0,1,True
51.517722,-0.107589,3,2005-07-02,2,15:30,30.0,1,1,1,1,0,0,1,True
51.513622,-0.1043,3,2005-01-20,5,23:20,30.0,2,2,1,1,0,0,1,True
51.517595,-0.105288,3,2005-02-02,4,09:20,30.0,1,1,1,1,0,0,1,True
51.509265,-0.08517,3,2005-02-25,6,11:15,30.0,3,2,1,1,0,0,1,True
51.515721,-0.10061,3,2005-02-15,3,19:05,30.0,1,1,1,1,0,0,1,True
51.518796,-0.079581,3,2005-06-02,1,15:10,30.0,1,1,1,1,0,0,1,True
51.515398,-0.097308,2,2005-03-03,5,13:31,30.0,1,2,1,1,0,1,0,True
51.51379,-0.092475,3,2005-05-03,7,13:00,30.0,1,1,1,1,0,0,1,True
51.517725,-0.107733,3,2005-12-03,7,15:45,30.0,1,1,1,2,0,0,1,True
51.511695,-0.090833,2,2005-03-15,3,15:15,30.0,1,1,1,2,0,1,0,True
51.514093,-0.105578,3,2005-03-30,4,09:45,30.0,1,2,1,2,0,0,1,True
51.510744,-0.093179,3,2005-04-04,2,19:30,30.0,1,1,1,1,0,0,1,True
51.521516,-0.097486,2,2005-01-04,6,20:50,30.0,1,1,1,1,0,1,0,True
51.514756,-0.085516,3,2005-04-19,3,14:30,30.0,1,2,1,1,0,0,1,True
51.515071,-0.082765,3,2005-04-20,4,14:00,30.0,1,1,1,2,0,0,1,True
51.513963,-0.103133,3,2005-04-22,6,08:40,30.0,1,1,1,1,0,0,1,True
51.513282,-0.088893,3,2005-04-22,6,06:50,30.0,1,1,1,2,0,0,1,True
51.517462,-0.080502,3,2005-03-18,6,13:45,30.0,1,1,1,1,0,0,1,True
51.513984,-0.104429,3,2005-02-05,2,14:45,30.0,1,2,1,2,0,0,1,True
51.511952,-0.095578,3,2005-05-05,5,15:40,30.0,1,1,1,1,0,0,1,True
51.517727,-0.080203,3,2005-09-05,2,09:08,30.0,1,1,1,1,0,0,1,True
51.514255,-0.07689,3,2005-12-05,5,08:50,30.0,1,1,1,1,0,0,1,True
51.516043,-0.081715,3,2005-12-05,5,09:00,30.0,1,1,1,2,0,0,1,True
51.515757,-0.097293,1,2005-05-18,4,18:30,30.0,1,1,1,1,1,0,0,True
51.509426,-0.078534,3,2005-05-17,3,18:45,30.0,1,1,1,2,0,0,1,True
51.517955,-0.110895,3,2005-05-20,6,16:28,30.0,1,1,1,1,0,0,1,True
51.514368,-0.083803,3,2005-05-25,4,07:50,30.0,1,1,1,2,0,0,1,True
51.510724,-0.086406,3,2005-05-25,4,17:50,30.0,1,1,1,1,0,0,1,True
51.509935,-0.104309,3,2005-05-31,3,15:00,30.0,1,1,1,1,0,0,1,True
51.510282,-0.086857,3,2005-08-06,4,23:45,30.0,1,1,1,1,0,0,1,True
51.512187,-0.093407,2,2005-09-06,5,15:00,30.0,1,1,1,1,0,1,0,True
51.515815,-0.100894,3,2005-09-06,5,17:50,30.0,1,1,1,1,0,0,1,True
51.513427,-0.081248,3,2005-06-17,6,13:15,30.0,1,1,1,1,0,0,1,True
51.510967,-0.112481,3,2005-06-20,2,08:15,30.0,1,1,1,2,0,0,1,True
51.513292,-0.083992,3,2005-06-27,2,08:45,30.0,1,1,1,1,0,0,1,True
51.512364,-0.104353,3,2005-07-15,6,11:00,30.0,1,1,1,1,0,0,1,True
51.515868,-0.082011,3,2005-07-19,3,11:05,30.0,1,1,1,1,0,0,1,True
51.514047,-0.108318,3,2005-07-20,4,09:35,30.0,1,1,1,1,0,0,1,True
51.51084,-0.11018,3,2005-07-25,2,17:40,30.0,1,1,1,2,0,0,1,True
51.517678,-0.104853,3,2005-07-26,3,07:55,30.0,1,1,1,1,0,0,1,True
51.516345,-0.08372,3,2005-07-22,6,09:57,30.0,1,1,1,1,0,0,1,True
51.509676,-0.088324,3,2005-07-26,3,19:23,30.0,1,1,1,1,0,0,1,True
51.513457,-0.088598,2,2005-07-27,4,13:15,30.0,2,2,1,1,0,1,0,True
51.511017,-0.087835,3,2005-07-22,6,10:15,30.0,1,1,1,1,0,0,1,True
51.515611,-0.104938,2,2005-07-28,5,17:00,30.0,1,1,1,2,0,1,0,True
51.517683,-0.105141,3,2005-07-28,5,18:30,30.0,1,1,1,2,0,0,1,True
51.51285,-0.084443,3,2005-01-08,2,13:00,30.0,1,1,1,1,0,0,1,True
51.51817,-0.113048,3,2005-01-08,2,14:39,30.0,1,1,1,1,0,0,1,True
51.5135,-0.09119,3,2005-03-08,4,09:00,30.0,1,1,1,1,0,0,1,True
51.514756,-0.085516,3,2005-03-08,4,14:15,30.0,1,1,1,1,0,0,1,True
51.514102,-0.106154,3,2005-03-08,4,20:20,30.0,1,1,1,1,0,0,1,True
51.516487,-0.081408,3,2005-10-08,4,09:52,30.0,1,1,1,1,0,0,1,True
51.51704,-0.087727,3,2005-12-08,6,09:50,30.0,1,1,1,2,0,0,1,True
51.513589,-0.091186,2,2005-08-13,7,12:40,30.0,1,1,1,2,0,1,0,True
51.516859,-0.098689,3,2005-08-15,2,06:40,30.0,1,1,1,1,0,0,1,True
51.516572,-0.103169,3,2005-03-08,4,18:20,30.0,1,1,1,1,0,0,1,True
51.515515,-0.082458,3,2005-08-19,6,11:00,30.0,1,2,1,1,0,0,1,True
51.511551,-0.087524,3,2005-08-25,5,12:58,30.0,1,1,1,1,0,0,1,True
51.520143,-0.085002,2,2005-08-25,5,00:41,30.0,1,1,1,1,0,1,0,True
51.513214,-0.090193,3,2005-08-25,5,22:36,30.0,1,1,1,1,0,0,1,True
51.520774,-0.090598,3,2005-08-31,4,11:00,30.0,1,1,1,1,0,0,1,True
51.514385,-0.073858,3,2005-08-16,3,08:00,30.0,1,1,1,2,0,0,1,True
51.516253,-0.08358,3,2005-08-16,3,18:27,30.0,1,1,1,2,0,0,1,True
51.513294,-0.089613,3,2005-12-09,2,10:30,30.0,1,1,1,1,0,0,1,True
51.510387,-0.104435,3,2005-09-13,3,17:20,30.0,1,1,1,1,0,0,1,True
51.510117,-0.093349,3,2005-09-13,3,08:55,30.0,1,1,1,1,0,0,1,True
51.513111,-0.094953,3,2005-12-09,2,18:21,30.0,1,1,1,1,0,0,1,True
51.516569,-0.103025,3,2005-09-19,2,12:30,30.0,1,1,1,1,0,0,1,True
51.518169,-0.079752,3,2005-09-20,3,17:50,30.0,1,1,1,1,0,0,1,True
51.50875,-0.081157,3,2005-09-20,3,09:00,30.0,1,1,1,1,0,0,1,True
51.514806,-0.083064,3,2005-09-20,3,15:35,30.0,1,1,1,1,0,0,1,True
51.514191,-0.083955,3,2005-09-21,4,08:40,30.0,1,1,1,1,0,0,1,True
51.509022,-0.081289,2,2005-09-23,6,20:34,30.0,1,1,1,1,0,1,0,True
51.520494,-0.078933,3,2005-09-21,4,18:35,30.0,1,1,1,1,0,0,1,True
51.515721,-0.10061,3,2005-09-26,2,10:39,30.0,5,2,1,1,0,0,1,True
51.514397,-0.096629,3,2005-05-08,6,08:43,30.0,8,2,1,1,0,0,1,True
51.518048,-0.111035,3,2005-09-30,6,10:45,30.0,8,2,1,1,0,0,1,True
51.517333,-0.105732,3,2005-06-10,5,15:53,30.0,1,1,1,1,0,0,1,True
51.516479,-0.103029,3,2005-10-13,5,06:25,30.0,2,2,1,1,0,0,1,True
51.513297,-0.084281,3,2005-10-21,6,11:00,30.0,2,2,1,1,0,0,1,True
51.516575,-0.08126,2,2005-10-21,6,17:50,30.0,1,1,1,1,0,1,0,True
51.518409,-0.105543,3,2005-10-24,2,08:50,30.0,2,2,1,2,0,0,1,True
51.513285,-0.089037,3,2005-10-26,4,08:55,30.0,1,1,1,2,0,0,1,True
51.515624,-0.100182,3,2005-10-27,5,08:35,30.0,1,1,1,2,0,0,1,True
51.519105,-0.087496,2,2005-04-11,6,16:00,30.0,1,1,1,1,0,1,0,True
51.517685,-0.105285,3,2005-08-11,3,08:45,30.0,1,1,1,1,0,0,1,True
51.517725,-0.107733,3,2005-08-11,3,21:00,30.0,8,1,1,1,0,0,1,True
51.51737,-0.096938,3,2005-11-14,2,17:15,30.0,1,1,1,1,0,0,1,True
51.51702,-0.080953,3,2005-10-19,4,08:26,30.0,2,2,1,1,0,0,1,True
51.513986,-0.104573,3,2005-10-20,5,07:10,30.0,1,2,1,1,0,0,1,True
51.517734,-0.10831,3,2005-11-16,4,23:15,30.0,1,1,1,1,0,0,1,True
51.518586,-0.105391,3,2005-11-17,5,09:50,30.0,1,1,1,2,0,0,1,True
51.513986,-0.104573,3,2005-11-21,2,09:02,30.0,1,1,1,1,0,0,1,True
51.516952,-0.10445,3,2005-11-24,5,09:15,30.0,1,2,1,1,0,0,1,True
51.517141,-0.105019,3,2005-11-29,3,16:39,30.0,1,1,1,1,0,0,1,True
51.517635,-0.096639,3,2005-11-23,4,18:45,30.0,1,1,1,1,0,0,1,True
51.512556,-0.105065,3,2005-02-12,6,08:20,30.0,1,2,1,2,0,0,1,True
51.510369,-0.086709,3,2005-02-12,6,18:00,30.0,1,2,1,1,0,0,1,True
51.509537,-0.079827,3,2005-12-14,4,17:40,30.0,1,1,1,1,0,0,1,True
51.512076,-0.103212,3,2005-11-17,5,18:10,30.0,1,1,1,1,0,0,1,True
51.498461,-0.157374,3,2005-12-01,4,09:00,30.0,1,1,1,1,0,0,1,True
51.496587,-0.141169,3,2005-01-13,5,17:33,30.0,1,1,1,1,0,0,1,True
51.499641,-0.129662,3,2005-10-01,2,18:05,30.0,1,2,1,1,0,0,1,True
51.506014,-0.151593,3,2005-10-01,2,00:36,30.0,1,1,1,1,0,0,1,True
51.489327,-0.131381,3,2005-01-14,6,17:16,30.0,1,1,1,1,0,0,1,True
51.485663,-0.149824,3,2005-01-13,5,09:17,30.0,1,1,1,1,0,0,1,True
51.522113,-0.157428,3,2005-01-16,1,15:19,30.0,1,1,1,1,0,0,1,True
51.499033,-0.147985,2,2005-01-21,6,21:42,30.0,1,1,1,1,0,1,0,True
51.513084,-0.115564,3,2005-01-18,3,23:20,30.0,1,1,1,1,0,0,1,True
51.509218,-0.132441,2,2005-01-19,4,19:30,30.0,1,1,1,2,0,1,0,True
51.513586,-0.141342,3,2005-01-27,5,19:00,30.0,1,2,1,2,0,0,1,True
51.521282,-0.161786,3,2005-01-20,5,21:10,30.0,1,2,1,1,0,0,1,True
51.512259,-0.182902,3,2005-01-26,4,19:30,30.0,1,1,1,2,0,0,1,True
51.528332,-0.181397,3,2005-01-02,3,17:28,30.0,1,2,1,1,0,0,1,True
51.501604,-0.151339,3,2005-01-31,2,21:00,30.0,1,1,1,1,0,0,1,True
51.505775,-0.130852,3,2005-03-02,5,15:50,30.0,1,1,1,1,0,0,1,True
51.497306,-0.152522,3,2005-07-02,2,08:35,30.0,1,1,1,1,0,0,1,True
51.533555,-0.187678,3,2005-10-02,5,12:27,30.0,1,2,1,1,0,0,1,True
51.515318,-0.154243,3,2005-02-14,2,18:40,30.0,1,1,1,1,0,0,1,True
51.510043,-0.133416,3,2005-02-18,6,21:22,30.0,1,1,1,1,0,0,1,True
51.521267,-0.138002,3,2005-01-20,5,18:45,30.0,1,1,1,1,0,0,1,True
51.503203,-0.150122,3,2005-02-03,4,08:30,30.0,1,2,1,1,0,0,1,True
51.520873,-0.164397,3,2005-02-24,5,08:02,30.0,2,2,1,2,0,0,1,True
51.492301,-0.137454,3,2005-08-03,3,12:55,30.0,1,1,1,1,0,0,1,True
51.509783,-0.156773,3,2005-03-13,1,15:12,30.0,1,1,1,1,0,0,1,True
51.518021,-0.189159,3,2005-03-18,6,11:55,30.0,1,1,1,1,0,0,1,True
51.488576,-0.129395,3,2005-03-21,2,18:23,30.0,1,1,1,1,0,0,1,True
51.498178,-0.145139,3,2005-03-23,4,10:00,30.0,1,1,1,1,0,0,1,True
51.498461,-0.157374,3,2005-03-24,5,22:42,30.0,1,1,1,1,0,0,1,True
51.532648,-0.164067,3,2005-05-19,5,14:45,30.0,1,1,1,1,0,0,1,True
51.520112,-0.178986,3,2005-03-27,1,13:30,30.0,1,1,1,1,0,0,1,True
51.51599,-0.134182,3,2005-01-04,6,09:06,30.0,1,1,1,1,0,0,1,True
51.494802,-0.125106,3,2005-11-04,2,09:02,30.0,1,1,1,1,0,0,1,True
51.504808,-0.126569,3,2005-04-04,2,08:24,30.0,1,1,1,1,0,0,1,True
51.510043,-0.133416,3,2005-12-04,3,09:04,30.0,1,1,1,1,0,0,1,True
51.499225,-0.143079,3,2005-04-14,5,08:27,30.0,1,1,1,1,0,0,1,True
51.494892,-0.125103,3,2005-01-24,2,09:40,30.0,1,1,1,2,0,0,1,True
51.490997,-0.134626,3,2005-12-04,3,10:27,30.0,1,1,1,1,0,0,1,True
51.526176,-0.193161,3,2005-04-02,6,20:00,30.0,1,1,1,2,0,0,1,True
51.526452,-0.193582,3,2005-03-04,1,15:50,30.0,1,1,1,1,0,0,1,True
